California Milk Processor Board, "Got Milk?", 1993
AT&T, "Reach out and touch someone", N.W. Ayer, 1979
Brylcreem, "A little dab'll do ya", Kenyon & Eckhardt, 1950s
Carling Black Label beer, "Hey Mabel, Black Label!", Lang, Fisher & Stashower, 1940s
Isuzu, "Lying Joe Isuzu", Della Famina, Travisano & Partners, 1980s
BMW, "The ultimate driving machine", Ammirati & Puris, 1975
Texaco, "You can trust your car to the men who wear the star", Benton & Bowles, 1940s
Coca-Cola, "Always", Creative Artists Agency, 1993
Xerox, "It's a miracle", Needham, Harper & Steers, 1975
Bartles & Jaymes, "Frank and Ed", Hal Riney & Partners, 1985
Dannon Yogurt, Old People in Russia, Marstellar Inc., 1970s
Volvo, Average life of a car in Sweden, Scali, McCabe, Sloves, 1960s
Motel 6, "We'll leave a light on for you", Richards Group, 1988
Jell-O, Bill Cosby with kids, Young & Rubicam, 1975
IBM, Chaplin's Little Tramp character, Lord, Geller, Federico, Einstein, 1982
American Tourister, The Gorilla, Doyle, Dane Bernbach, late 1960s
Right Guard, "Medicine Cabinet", BBDO, 1960s
Maypo, "I want my Maypo", Fletcher, Calkins & Holden, 1960s
Bufferin, Pounding heartbeat, Young & Rubicam, 1960
Arrow Shirts, "My friend, Joe Holmes, is now a horse", Young & Rubicam, 1938
Young & Rubicam, "Impact", Young & Rubicam, 1930
Lyndon Johnson for President, "Daisy", Doyle Dane Bernbach, 1964
